elapsed_seconds,mode,component,pid,rss_kib,cpu_percent,cpu_time
352.551,new,rust,2626,20080,0.0,0:00.02
357.564,old,go,2621,22464,0.0,0:00.12
357.568,old,rust,2624,19920,0.0,0:00.12
357.573,new,go,2625,21648,0.0,0:00.02
357.577,new,rust,2626,20080,0.0,0:00.02
362.584,old,go,2621,22480,0.0,0:00.12
362.586,old,rust,2624,19920,0.0,0:00.13
362.59,new,go,2625,21648,0.0,0:00.02
362.592,new,rust,2626,20080,0.0,0:00.02
367.601,old,go,2621,22544,0.0,0:00.12
367.604,old,rust,2624,19920,0.0,0:00.13
367.606,new,go,2625,21648,0.0,0:00.02
367.609,new,rust,2626,20112,0.0,0:00.02
372.616,old,go,2621,22544,0.0,0:00.12
372.619,old,rust,2624,19920,0.0,0:00.13
372.622,new,go,2625,21648,0.0,0:00.02
372.624,new,rust,2626,20112,0.0,0:00.02
377.635,old,go,2621,23904,0.0,0:00.13
377.64,old,rust,2624,19920,0.0,0:00.13
377.643,new,go,2625,21648,0.0,0:00.02
377.647,new,rust,2626,20112,0.0,0:00.02
382.654,old,go,2621,23968,0.0,0:00.13
382.657,old,rust,2624,19920,0.0,0:00.13
382.659,new,go,2625,21648,0.0,0:00.02
382.662,new,rust,2626,20112,0.0,0:00.02
387.674,old,go,2621,23968,0.0,0:00.13
387.678,old,rust,2624,19920,0.0,0:00.13
387.682,new,go,2625,21648,0.0,0:00.02
387.686,new,rust,2626,20112,0.0,0:00.02
392.696,old,go,2621,23984,0.0,0:00.13
392.701,old,rust,2624,19920,0.0,0:00.13
392.706,new,go,2625,21648,0.0,0:00.02
392.71,new,rust,2626,20112,0.0,0:00.02
397.718,old,go,2621,23984,0.0,0:00.13
397.722,old,rust,2624,19920,0.0,0:00.13
397.727,new,go,2625,21648,0.0,0:00.02
397.731,new,rust,2626,20112,0.0,0:00.02
402.741,old,go,2621,23984,0.0,0:00.13
402.744,old,rust,2624,19920,0.0,0:00.13
402.749,new,go,2625,21648,0.0,0:00.02
402.754,new,rust,2626,20112,0.0,0:00.02
407.766,old,go,2621,24000,0.0,0:00.13
407.771,old,rust,2624,19920,0.0,0:00.14
407.776,new,go,2625,21648,0.0,0:00.02
407.781,new,rust,2626,20112,0.0,0:00.02
412.787,old,go,2621,24000,0.0,0:00.14
412.79,old,rust,2624,19920,0.0,0:00.14
412.792,new,go,2625,21648,0.0,0:00.02
412.795,new,rust,2626,20112,0.0,0:00.02
417.808,old,go,2621,24000,0.0,0:00.14
417.813,old,rust,2624,19920,0.0,0:00.14
417.817,new,go,2625,21648,0.0,0:00.02
417.82,new,rust,2626,20112,0.0,0:00.02
422.832,old,go,2621,24000,0.0,0:00.14
422.837,old,rust,2624,19920,0.0,0:00.14
422.842,new,go,2625,21648,0.0,0:00.02
422.848,new,rust,2626,20112,0.0,0:00.02
427.861,old,go,2621,24032,0.0,0:00.14
427.866,old,rust,2624,19936,0.0,0:00.14
427.871,new,go,2625,21648,0.0,0:00.02
427.876,new,rust,2626,20112,0.0,0:00.02
432.888,old,go,2621,24048,0.0,0:00.14
432.893,old,rust,2624,19936,0.0,0:00.14
432.898,new,go,2625,21648,0.0,0:00.02
432.903,new,rust,2626,20112,0.0,0:00.02
437.915,old,go,2621,24048,0.0,0:00.14
437.919,old,rust,2624,19936,0.0,0:00.14
437.924,new,go,2625,21648,0.0,0:00.02
437.93,new,rust,2626,20112,0.0,0:00.02
442.943,old,go,2621,24048,0.0,0:00.14
442.948,old,rust,2624,19936,0.0,0:00.15
442.953,new,go,2625,21648,0.0,0:00.02
442.958,new,rust,2626,20112,0.0,0:00.02
447.97,old,go,2621,24048,0.0,0:00.14
447.975,old,rust,2624,19936,0.0,0:00.15
447.98,new,go,2625,21648,0.0,0:00.02
447.985,new,rust,2626,20112,0.0,0:00.02
452.997,old,go,2621,24048,0.0,0:00.15
453.002,old,rust,2624,19936,0.0,0:00.15
453.007,new,go,2625,21648,0.0,0:00.02
453.012,new,rust,2626,20112,0.0,0:00.02
458.024,old,go,2621,24048,0.0,0:00.15
458.029,old,rust,2624,19936,0.0,0:00.15
458.034,new,go,2625,21648,0.0,0:00.02
458.038,new,rust,2626,20112,0.0,0:00.02
463.05,old,go,2621,24064,0.0,0:00.15
463.055,old,rust,2624,19936,0.0,0:00.15
463.06,new,go,2625,21648,0.0,0:00.02
463.066,new,rust,2626,20112,0.0,0:00.02
468.078,old,go,2621,24064,0.0,0:00.15
468.083,old,rust,2624,19936,0.0,0:00.15
468.089,new,go,2625,21648,0.0,0:00.02
468.094,new,rust,2626,20112,0.0,0:00.02
473.099,old,go,2621,24096,0.0,0:00.15
473.102,old,rust,2624,19936,0.0,0:00.15
473.105,new,go,2625,21648,0.0,0:00.02
473.107,new,rust,2626,20112,0.0,0:00.02
478.119,old,go,2621,24096,0.0,0:00.15
478.124,old,rust,2624,19936,0.0,0:00.16
478.129,new,go,2625,21648,0.0,0:00.02
478.133,new,rust,2626,20112,0.0,0:00.02
483.144,old,go,2621,24112,0.0,0:00.15
483.148,old,rust,2624,19936,0.0,0:00.16
483.153,new,go,2625,21648,0.0,0:00.02
483.156,new,rust,2626,20112,0.0,0:00.03
488.168,old,go,2621,24112,0.0,0:00.16
488.172,old,rust,2624,19952,0.0,0:00.16
488.177,new,go,2625,21648,0.0,0:00.02
488.18,new,rust,2626,20112,0.0,0:00.03
493.19,old,go,2621,24128,0.0,0:00.16
493.196,old,rust,2624,19952,0.0,0:00.16
493.201,new,go,2625,21648,0.0,0:00.02
493.206,new,rust,2626,20112,0.0,0:00.03
498.217,old,go,2621,24240,0.0,0:00.16
498.222,old,rust,2624,19952,0.0,0:00.16
498.228,new,go,2625,21648,0.0,0:00.02
498.233,new,rust,2626,20112,0.0,0:00.03
503.248,old,go,2621,24240,0.0,0:00.16
503.264,old,rust,2624,19952,0.0,0:00.16
503.277,new,go,2625,21648,0.0,0:00.02
503.283,new,rust,2626,20112,0.0,0:00.03
508.296,old,go,2621,24240,0.0,0:00.16
508.3,old,rust,2624,19952,0.0,0:00.16
508.304,new,go,2625,21648,0.0,0:00.02
508.308,new,rust,2626,20112,0.0,0:00.03
513.322,old,go,2621,24240,0.0,0:00.16
513.328,old,rust,2624,19952,0.0,0:00.17
513.339,new,go,2625,21648,0.0,0:00.02
513.383,new,rust,2626,20112,0.0,0:00.03
518.395,old,go,2621,24240,0.0,0:00.17
518.4,old,rust,2624,19952,0.0,0:00.17
518.405,new,go,2625,21648,0.0,0:00.02
518.41,new,rust,2626,20112,0.0,0:00.03
523.421,old,go,2621,24240,0.0,0:00.17
523.426,old,rust,2624,19952,0.0,0:00.17
523.431,new,go,2625,21648,0.0,0:00.02
523.435,new,rust,2626,20112,0.0,0:00.03
528.447,old,go,2621,24240,0.0,0:00.17
528.452,old,rust,2624,19952,0.0,0:00.17
528.456,new,go,2625,21648,0.0,0:00.02
528.461,new,rust,2626,20112,0.0,0:00.03
533.474,old,go,2621,24240,0.0,0:00.17
533.479,old,rust,2624,19952,0.0,0:00.17
533.484,new,go,2625,21648,0.0,0:00.02
533.489,new,rust,2626,20112,0.0,0:00.03
538.501,old,go,2621,24240,0.0,0:00.17
538.506,old,rust,2624,19952,0.0,0:00.17
538.51,new,go,2625,21648,0.0,0:00.02
538.514,new,rust,2626,20112,0.0,0:00.03
543.521,old,go,2621,24240,0.0,0:00.17
543.524,old,rust,2624,19952,0.1,0:00.17
543.527,new,go,2625,21648,0.0,0:00.02
543.53,new,rust,2626,20112,0.0,0:00.03
548.54,old,go,2621,24272,0.0,0:00.17
548.545,old,rust,2624,19952,0.0,0:00.17
548.55,new,go,2625,21648,0.0,0:00.02
548.554,new,rust,2626,20112,0.0,0:00.03
553.565,old,go,2621,24320,0.0,0:00.17
553.57,old,rust,2624,19952,0.1,0:00.17
553.574,new,go,2625,21648,0.0,0:00.02
553.579,new,rust,2626,20112,0.0,0:00.03
558.592,old,go,2621,24320,0.0,0:00.17
558.597,old,rust,2624,19952,0.0,0:00.18
558.602,new,go,2625,21648,0.0,0:00.02
558.606,new,rust,2626,20112,0.0,0:00.03
563.618,old,go,2621,24336,0.0,0:00.18
563.623,old,rust,2624,19952,0.1,0:00.18
563.628,new,go,2625,21648,0.0,0:00.02
563.633,new,rust,2626,20112,0.0,0:00.03
568.646,old,go,2621,24336,0.0,0:00.18
568.651,old,rust,2624,19952,0.0,0:00.18
568.656,new,go,2625,21648,0.0,0:00.02
568.66,new,rust,2626,20112,0.0,0:00.03
573.672,old,go,2621,24336,0.0,0:00.18
